XEN & EAZ,145
Frik N Chic,145
ICF Zürich,137
ICF Worship,137
Neverage,135
Kliby und Caroline,135
Gustav,133
El Paso,129
Samir Essahbi & Raï-X feat. Endo Anaconda,127
Tiziana Gulino,126
Udo Jürgens,125
DJ Antoine feat. Eve Gallagher,123
DJ Mico feat. Sandy & MC Tiramisu,123
Mimiks,122
Gioia,120
DJ Antoine feat. Jay Sean,118
Open Season feat. Guillaume Hoarau,117
Mr. Da-Nos feat. Nico Santos,116
Brothertunes,116
Black Lion Genocide,115
Daniela Simmons & Francisco Araiza,114
Mike Candys feat. U-Jean,113
ICF Zürich feat. Jorge Mhondera,111
Wrecked Mob,110
Bligg feat. Jessy Howe,110
Pure Pleasure,109
Santiago Cortés feat. Andre Freeman of Wonderland,107
Lockstoff,107
Flava and Stevenson feat. Karian Sang,104
Sens Unik feat. Stress & Greis,100
Maurice,100
Rajiv,94
KabelBrand,93
Christopher S feat. Max Urban,93
Ira May,92
Mr. Da-Nos feat. Snipa,92
DJ Andrey feat. Julien Ceccon,91
Xen,90
Angie Ott,89
DJ Antoine vs. Mad Mark feat. B-Case & U-Jean,89
Explo,89
DJ Antoine & Mad Mark feat. Temara Melek & Euro,88
INTRESSTandLOUIS,87
Timebelle,85
"DJ Antoine, Sido & Moe Phoenix",85
Cavern Street,84
Michel Truog,83
Mr. Da-Nos feat. David Anthony,82
Effedi feat. Sottotono,82
INTRESSTandLOUIS feat. DRM Fly,81
EAZ,80
Wurzel 5,80
Marc Improof,78
Flava and Stevenson feat. FreeG,76
Peter Brandenberger,75
Some & Any,75
Anshelle,75
Börni,73
DJ Remady feat. Tylene,72
DJ Antoine vs. Mad Mark feat. B-Case & Shontelle,72
Rahel Buchhold,68
Peter Reber,67
"Stress, Noah Veraguth & Bastian Baker",66
DJ A-Boom x Kidda,65
Asha [CH],64
DJ Tatana feat. Sarah Vieth,62
Triplenine,61
Eaz feat. Xen & Ledri Vula,61
Chor auf Bewährung,60
1 City 1 Song,60
Lo & Leduc & Seven,58
D-Verse City,58
Dodo feat. Rita Roof,57
Miyagé,56
Guru Project feat. Tanja La Croix,56
Savier & Blue Bourbon,56
Bellamy Brothers & Gölä,56
Doppelganger,56
"Adrian, Greis, Muriel & SAD",55
Wintershome,53
DJ Energy + Tatana,53
Gee MP feat. Mary,52
DJ Tatana Meets DJ Energy,51
Shakra,50
Sina feat. Marc Sway,50
Myron with Jenniffer Kae,47
Mike Candys & Evelyn feat. David Deen,47
Jesse Ritch,46
Slimboy,46
BOY,45
Mr. Da-Nos feat. Freakout & Nimal,45
Leal,45
Huky,44
daFOO,42
Seven feat. Xavier Naidoo,42
DJ Antoine feat. Karl Wolf & Fito Blanko,41
DJ BoBo & Inna,41
Jan Oliver,40
Tatana feat. SayL,39
Lina Button feat. Matt,39
Dodo Jud,39
Stress feat. M.A.M & Nassi,39
Mr. Da-Nos feat. Ellyland,39
ZiBBZ,39
Michael von der Heide,36
Fusion Square Garden feat. Jaba,34
Mitscharf,33
"SAD feat. Büne Huber, Lo & Leduc",33
Tatana feat. Arjeta,33
William White,33
Superhorny,32
Ackua feat. Andy Darling,32
Adam B feat. Charlotte,32
Tempesta,31
Alex Price feat. Ryan Sanders,31
Guillermo Sorya,31
Aextra,31
Hang Loose,30
DJ Ecko & Robin Tune,30
Kyasma feat. Melanie Oesch,30
Jaro,29
Kari Kreidler,29
Whiteside,29
Partyhelden feat. Sängerfreunde,29
Ensy,28
Bligg feat. Zid,28
Baze,27
daFOO feat. @omic Kidz,27
Boy,27
Eaz & Xen,26
Quentin Mosimann,25
Ivo,22
Liba & Eaz,22
Sandy [CH],21
Roger Martin feat. Maurice,20
DJ Antoine feat. Armando & Jimmi The Dealer,20
Remady & Manu-L feat. I.GOT.U,19
Lerocque,19
Daniela [Big Brother Schweiz],18
Raquel Rodo,17
Open Season,17
DJ Snowman,17
Greis feat. Samir Essahbi & Baze,16
XEN feat. EAZ & Liba,16
Girls To Girls,15
Crimer,14
Nikless & Before We Go feat. Maurice,11
Lady Tom,9
Angie,9
Remady & Manu-L feat. Lyracis,9
Core22,8
Katharina Michel feat. Florian Ast,8
Polo's Schmetterding,7
Com & Com feat. Dieter Meier,6
DJ Antoine feat. MC Roby Rob,6
DJ Antoine & Dizkodude feat. Sibbyl,6
Stop The Shoppers,6
Alex Costanzo Feat. Simeon,4
Jane Bogaert,3
Michelle Hunziker,3
Mr. Da-Nos feat. M-Cee,3
MC Semih feat. Raquel,2
Pat Farrell feat. Adam Hardy,2
Patent Ochsner / Mimmo Locasciulli,1
